,#,Title,Country,Year,Type,Score,WatchedTotal,Oppa,Noona,Total
81,82,The Man in the Mask,South Korea,2015,Drama,8.0,100.0,0,0,264
82,83,The Master’s Sun,South Korea,2013,Drama,10.0,100.0,13,37,29862
83,84,The Producers,South Korea,2015,Drama,9.0,100.0,73,75,33259
84,85,The Secret Life of My Secretary,South Korea,2019,Drama,7.0,100.0,5,4,4187
85,86,The Sound of Your Heart,South Korea,2016,Drama,10.0,100.0,0,0,0
86,87,Touch Your Heart,South Korea,2019,Drama,6.0,100.0,137,43,36100
87,88,Tunnel,South Korea,2017,Drama,9.5,100.0,15,0,9062
88,89,Uncontrollably Fond,South Korea,2016,Drama,4.5,100.0,0,0,0
89,90,Voice,South Korea,2017,Drama,5.0,100.0,0,0,1700
90,91,W,South Korea,2016,Drama,10.0,100.0,20,129,23707
91,92,What’s Wrong With Secretary Kim,South Korea,2018,Drama,10.0,100.0,151,0,30031
92,93,While You Were Sleeping,South Korea,2017,Drama,10.0,100.0,13,20,31722
93,94,You Who Came from the Stars,South Korea,2013,Drama,8.0,100.0,88,109,36359
94,95,You’re All Surrounded,South Korea,2014,Drama,4.0,100.0,0,0,273
95,96,Memories of the Alhambra,South Korea,2018,Drama,16.0,0.0,0,0,0
96,97,Moon Lovers: Scarlet Heart Ryeo,South Korea,2016,Drama,20.0,0.0,0,0,0
97,98,Strongest Deliveryman,South Korea,2017,Drama,16.0,0.0,0,0,0
98,99,7 First Kisses,South Korea,2016,Drama,0.0,50.0,0,0,0
99,100,Advertising Genius Lee Tae Baek,South Korea,2013,Drama,6.0,62.5,0,0,0
100,101,Blade Man,South Korea,2014,Drama,0.0,38.888888888888886,0,0,0
101,102,Flower Boy Ramen Shop,South Korea,2011,Drama,0.0,12.5,37,34,4015
102,103,Glamorous Temptation,South Korea,2015,Drama,1.0,60.0,2,0,1109
103,104,Goong S,South Korea,2007,Drama,3.0,15.0,0,0,670
104,105,Love Rain,South Korea,2012,Drama,0.0,30.0,1,0,2875
105,106,Lucky Romance,South Korea,2016,Drama,0.0,25.0,0,13,5172
106,107,Padam Padam,South Korea,2011,Drama,0.0,80.0,53,77,28804
107,108,The Sound of Your Heart: Reboot,South Korea,2018,Drama,6.5,60.0,0,0,0
