,Unnamed: 0,Title,Year,Score,WatchedTotal,NrOfEpisodes,Subs,Oppa,Noona,Total
39,39,Lie to Me,2011,8.0,100.0,16.0,0.0,0,0,0
40,40,Live,2018,10.0,100.0,18.0,0.0,0,0,0
41,41,Lovely Horribly,2018,7.0,100.0,32.0,98.8,34,19,60356
42,42,Madame Antoine,2016,9.5,100.0,16.0,1.5625,0,0,2127
43,43,"Marriage, Not Dating",2014,8.0,100.0,16.0,13.875,28,1,15076
44,44,Marry Him If You Dare,2013,6.5,100.0,16.0,0.0,0,0,0
45,45,Matrimonial Chaos,2018,8.0,100.0,32.0,0.0,0,0,0
46,46,Mother,2018,10.0,100.0,16.0,99.625,72,9,90021
47,47,My Wife’s Having an Affair this Week,2016,9.0,100.0,12.0,98.25,59,5,93905
48,48,Obstetrics and Gynecology Doctors,2010,7.0,100.0,16.0,0.0,0,0,0
49,49,Oh My Venus,2015,6.5,100.0,16.0,29.4375,4,1,25243
50,50,Panda and Hedgehog,2012,6.0,100.0,16.0,36.75,17,7,42126
51,51,Pasta,2010,7.0,100.0,20.0,4.45,0,0,5406
52,52,Pinocchio,2014,6.0,100.0,20.0,97.15,21,1,127604
53,53,Playful Kiss,2010,4.0,100.0,16.0,78.1875,32,6,80422
54,54,"Please Come Back, Mister",2016,9.0,100.0,16.0,0.0,0,0,0
55,55,Remember – War of the Son,2015,2.0,100.0,20.0,0.0,0,0,0
56,56,Reply 1988,2015,10.0,100.0,20.0,89.8,190,269,182949
57,57,Reply 1994,2013,8.0,100.0,21.0,18.95,123,0,32288
58,58,Reply 1997,2012,8.0,100.0,16.0,6.5625,9,0,5272
59,59,Romance is a Bonus Book,2019,7.5,100.0,16.0,0.0,0,0,0
60,60,"Romantic Doctor, Teacher Kim",2016,9.0,100.0,20.0,29.95,0,0,36630
61,61,Sassy Go Go,2015,7.0,100.0,12.0,18.33333333333333,3,0,12245
62,62,Secret,2013,3.0,100.0,16.0,0.0,0,0,0
63,63,Secret Garden,2010,6.0,100.0,20.0,97.35,175,1,142155
64,64,She Was Pretty,2015,8.0,100.0,16.0,0.0,0,0,0
65,65,Shining Inheritance,2009,4.0,100.0,28.0,12.0,25,6,15134
66,66,Shopping King Louie,2016,4.0,100.0,16.0,98.9375,32,27,102303
67,67,Signal,2016,9.0,100.0,16.0,0.0,0,0,0
68,68,Something in the Rain,2018,10.0,100.0,16.0,0.0,0,0,0
69,69,Secret Forest,2017,9.0,100.0,16.0,0.0,0,0,0
70,70,Strong Woman Do Bong Soon,2017,7.0,100.0,16.0,98.4375,11,47,111540
71,71,Suspicious Partner,2017,7.5,100.0,40.0,95.95,1,2,59540
72,72,Temptation of an Angel,2009,4.0,100.0,21.0,0.0,0,0,0
73,73,"That Winter, The Wind Blows",2013,7.0,100.0,16.0,0.0,0,0,0
74,74,The Great Seducer,2018,7.0,100.0,32.0,0.2,0,0,120
